partner_id,username,display_name,partner_type,tier,region,created_at,is_admin,password_hash,status,hq_location
p_admin001,admin,Portal Admin,,,Global,2026-01-01,TRUE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,
p_elant1,elantis,Elantis,MSP/SI,Value/Preferred,North America,2026-01-10,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Edmonton, Alberta, Canada"
p_getrb1,getrubix,GetRubix,MSP/SI,Value/Preferred,North America,2026-01-15,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"New Jersey, USA"
p_infos1,infosys,InfoSys,MSP/SI,Premier/Strategic,North America,2026-01-20,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Bengaluru, India"
p_insigh1,insight,Insight,MSP/SI,Premier/Strategic,North America,2026-02-10,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Chandler, Arizona, USA"
p_micro1,microsoft,Microsoft,OEM,Premier/Strategic,North America,2026-02-15,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Redmond, Washington, USA"
p_nerdio1,nerdio,Nerdio,Technology,Premier/Strategic,North America,2026-01-15,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Chicago, Illinois, USA"
p_qualc01,qualcomm,Qualcomm,Technology,Premier/Strategic,North America,2026-03-10,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"San Diego, California, USA"
p_ridgep1,ridgepoint,RidgePoint,MENA Regional Distributor,Value/Preferred,MENA,2026-02-01,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Dubai, UAE"
p_syscd01,systemcenterdudes,System Center Dudes,MSP/SI,Value/Preferred,North America,2026-02-20,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Montreal, Quebec, Canada"
p_acme01,acmecorp,Acme Corp,MSP/SI,Registered,North America,2026-03-15,FALSE,086635fbac324f4fd646adfbf065623c72536f2d53f61c922d828f5c4e46888b,active,"Austin, Texas, USA"
